#{"t_start": 1684228389.0110462, "env_id": "ur5e-v0"}
r,l,t
-7.966206,1,755.751137
-6.971574,12,759.844579
-8.033509,1,760.069145
-7.957127,1,760.332386
-4.983356,1,760.603183
-8.005094,1,760.816388
-2.895965,10,764.40928
-11.001415,2,764.958997
-6.994436,2,765.636533
-8.00453,1,765.992883
-7.999433,1,766.502512
-5.063312,2,767.03617
-12.002534,3,767.565302
-7.468235,2,767.934869
-7.922586,1,768.144828
-8.284488,1,768.415291
-5.016985,1,768.636781
-6.930524,2,769.011841
-7.815582,1,769.233373
-8.423617,1,769.443007
-7.696204,1,769.649008
-8.288658,1,769.868999
-8.294861,1,770.087211
-13.327339,2,770.523236
-7.749968,1,770.731654
-9.610704,2,771.103723
-8.304619,1,771.323751
-7.823037,1,771.578507
-4.854692,1,771.804088
-7.956735,1,772.012848
-7.907475,1,772.235999
-4.907404,1,772.488143
-9.898465,2,772.880733
-8.201259,1,773.102651
-7.547612,1,773.305671
-8.397223,1,773.521895
-8.096065,1,773.74959
-8.100354,1,773.943083
-4.806635,1,774.214474
-5.013006,1,774.43795
-5.099041,1,774.65748
-10.326194,2,775.020437
-12.593819,3,775.555113
-9.754973,1,775.780166
-8.28192,1,776.000925
-8.056337,1,776.266566
-12.16221,1,776.568181
-13.971199,4,777.23792
-13.607601,2,777.604752
-5.257274,1,777.820596
-9.363893,2,778.186267
-9.118826,1,778.630829
-11.31683,1,778.848502
-7.071837,1,779.056938
-8.634004,1,779.273821
-8.342603,1,779.46974
-10.130008,1,779.68272
-8.054391,1,780.045434
-10.974736,1,780.302686
-6.229647,1,780.638495
-10.591452,4,781.320446
-8.837529,3,781.831129
-7.848332,1,782.041587
-4.890152,1,782.314872
-12.206984,3,782.838118
-5.287045,1,783.048505
-7.775584,1,783.263982
-8.019797,1,783.458072
-10.634937,4,784.149441
-7.148739,2,784.510846
-9.372976,2,784.88304
-8.410148,1,785.150858
-8.729292,1,785.370314
-4.106471,1,785.645896
-9.142046,1,785.943327
-8.309056,1,786.146707
-7.957285,1,786.365013
-11.095393,1,786.762474
-8.046947,1,787.008412
-12.477672,3,787.519385
-7.872667,1,787.74498
-11.045797,1,788.004198
-10.904826,1,788.256308
-5.057784,1,788.546549
-9.942537,10,792.457708
-5.000192,1,792.693722
-7.984299,1,792.951137
-5.007758,1,793.154572
-7.975196,1,793.387102
-7.871598,1,793.599674
-5.078873,1,793.810597
-4.838745,1,794.027277
-8.201653,1,794.251797
-7.848575,1,794.506001
-8.022516,1,794.721782
-5.324074,1,794.935463
-5.223707,1,795.151155
-7.016484,2,795.534335
-5.340279,1,795.746145
-10.194787,2,796.132807
-8.009583,1,796.350944
-8.049891,1,796.565646
-7.873392,1,796.781941
-4.931589,1,797.009074
-8.622514,10,800.636152
-26.17371,19,808.200025
-13.669322,12,812.92373
-8.11877,1,813.179405
-8.105901,1,813.390291
-7.896558,1,813.598999
-8.056356,1,813.818773
-5.018471,1,814.040926
-5.136689,1,814.249797
-4.996714,1,814.469719
-5.097357,1,814.685408
-4.972923,1,814.901704
-8.059329,1,815.179961
-8.033366,1,815.392641
-8.054175,1,815.603304
-5.165998,1,815.817458
-6.195388,1,816.030279
-13.736385,13,820.243166
-8.007275,1,820.467564
-7.992658,1,820.754825
-9.99241,2,821.136207
-8.310074,1,821.345946
-10.067808,2,821.721921
-8.187658,1,821.986641
-3.101785,1,822.248727
-16.442935,14,827.383762
-27.294099,18,834.486135
-26.100485,21,841.823319
-14.415005,15,847.832978
-7.780535,10,851.91665
-5.039837,1,852.134437
-4.984717,1,852.394312
-7.784075,1,852.604089
-8.100202,1,852.821018
-8.211709,1,853.03622
-3.245577,1,853.239425
-6.664468,10,856.969686
-16.637205,12,861.495598
-9.911955,2,862.450929
-25.278544,17,866.624971
-12.393931,13,872.430449
-11.708343,10,876.558809
-7.941861,1,876.924442
-12.40429,12,882.275764
